__time,/amcl_cov/data,/amcl_error/data,/amcl_num_particles/data
1686072734.883472,,0.132393003,
1686072734.893535,0.447495103,,775.000000000
1686072735.325977,0.246924073,0.131716371,462.000000000
1686072735.728350,0.251169026,0.131076425,526.000000000
1686072736.311703,0.290984869,0.130483538,590.000000000
1686072736.683836,0.240749553,0.129922837,462.000000000
1686072737.096161,,0.129424170,
1686072737.106220,0.276553184,,462.000000000
1686072737.498405,0.280831933,0.128938824,526.000000000
1686072737.880566,,0.128460616,
1686072737.890625,0.332787842,,396.000000000
1686072738.282755,,0.128026664,
1686072738.292814,0.388943166,,396.000000000
1686072738.705084,0.441489518,0.127580598,590.000000000
1686072739.087269,0.386156768,0.127211779,462.000000000
1686072739.529839,0.309219152,0.126920640,652.000000000
1686072739.912055,0.281758785,0.126678437,714.000000000
1686072740.324502,0.301408798,0.126443878,836.000000000
1686072740.746970,,0.126240507,
1686072740.757029,0.318549871,,836.000000000
1686072741.129137,0.286378533,0.126029700,836.000000000
1686072741.511335,0.284356505,0.125796080,590.000000000
1686072741.923672,0.230890661,0.125576690,328.000000000
1686072742.356191,0.243086815,0.125350684,328.000000000
1686072742.708182,,0.125105932,
1686072742.718243,0.197196931,,526.000000000
1686072743.130647,,0.124895126,
1686072743.140710,0.248185381,,526.000000000
1686072743.563226,0.273766726,0.124718085,526.000000000
1686072743.965427,0.246831536,0.124601051,526.000000000
1686072744.317540,0.291929364,0.124399267,526.000000000
1686072744.740043,0.311982244,0.124216639,462.000000000
1686072745.132277,0.306388855,0.124034539,462.000000000
1686072745.524534,0.251438975,0.123867109,590.000000000
1686072745.936934,,0.123727493,
1686072745.946996,0.262930900,,396.000000000
1686072746.309052,,0.123555921,
1686072746.319111,0.277300239,,462.000000000
1686072746.731522,0.302192092,0.123426989,590.000000000
1686072747.133878,0.388151437,0.123364903,526.000000000
1686072747.566354,0.341176867,0.123337045,526.000000000
1686072747.948521,0.336552382,0.123307459,396.000000000
1686072748.350850,0.331811368,0.123262294,396.000000000
1686072748.742999,,0.123268403,
1686072748.753059,0.261867881,,462.000000000
1686072749.175536,0.258123487,0.123255871,396.000000000
1686072749.557789,0.245981112,0.123262100,462.000000000
1686072749.949991,0.243445098,0.123288795,328.000000000
1686072750.352312,,0.123313159,
1686072750.362369,0.303310156,,590.000000000
1686072750.744468,,0.123340696,
1686072750.754522,0.352243721,,714.000000000
1686072751.136711,0.321238875,0.123346865,714.000000000
1686072751.579298,0.338192821,0.123336427,896.000000000
1686072751.931339,0.313572139,0.123311281,714.000000000
1686072752.373961,0.276801169,0.123283729,462.000000000
1686072752.736100,0.232940435,0.123283967,396.000000000
1686072753.138752,0.248869821,0.123290375,258.000000000
1686072753.541072,0.263869613,0.123266421,396.000000000
1686072753.933364,,0.123219557,
1686072753.943456,0.272047877,,462.000000000
1686072754.335734,,0.123179853,
1686072754.345799,0.257213384,,526.000000000
1686072754.748141,0.288676769,0.123166502,462.000000000
1686072755.180672,0.282820582,0.123181857,462.000000000
1686072755.562930,0.244170949,0.123174466,183.000000000
1686072755.955214,0.246793836,0.123187624,258.000000000
1686072756.347522,,0.123247512,
1686072756.357582,0.241835251,,328.000000000
1686072756.769989,0.266555876,0.123278365,396.000000000
1686072757.202494,0.293488413,0.123317488,462.000000000
1686072757.655081,0.308396161,0.123309754,590.000000000
1686072757.976965,0.301192880,0.123282939,714.000000000
1686072758.409500,0.314625502,0.123310208,526.000000000
1686072758.842007,0.273840189,0.123356149,590.000000000
1686072759.224274,,0.123418011,
1686072759.234334,0.271730870,,590.000000000
1686072759.606447,0.280143946,0.123486146,714.000000000
1686072760.008707,0.275947779,0.123523548,652.000000000
1686072760.411051,0.265502185,0.123604625,714.000000000
1686072760.813407,0.223741755,0.123671114,328.000000000
1686072761.467115,0.271922678,0.123776056,396.000000000
1686072761.829203,0.257451624,0.123847879,714.000000000
1686072762.211346,0.250958890,0.123933971,896.000000000
1686072762.603581,0.295945764,0.124002881,775.000000000
1686072763.036037,0.296450049,0.124102771,590.000000000
1686072763.438284,,0.124195285,
1686072763.448346,0.326985270,,526.000000000
1686072763.780270,0.358555079,0.124234155,183.000000000
1686072764.222764,0.251662165,0.124296524,396.000000000
1686072764.594882,0.260747164,0.124379523,462.000000000
1686072764.997158,0.254676521,0.124479197,396.000000000
1686072765.389452,,0.124596097,
1686072765.399514,0.275658846,,328.000000000
1686072765.791772,0.291113704,0.124691822,258.000000000
1686072766.184032,0.247447208,0.124841593,183.000000000
1686072766.646726,0.290011674,0.124952972,183.000000000
1686072767.028888,0.341098785,0.125043884,328.000000000
1686072767.451329,0.401332229,0.125144616,526.000000000
1686072767.813437,0.430545598,0.125222087,714.000000000
1686072768.225782,,0.125285849,
1686072768.235890,0.484236181,,896.000000000
1686072768.618100,0.320796490,0.125328094,1074.000000000
1686072769.030447,0.372312039,0.125334471,1015.000000000
1686072769.432713,0.366433293,0.125311956,1074.000000000
1686072769.824936,0.381622016,0.125273913,1074.000000000
1686072770.207229,0.360288203,0.125234589,896.000000000
1686072770.609557,,0.125217929,
1686072770.619617,0.366355747,,652.000000000
1686072771.032042,,0.125192717,
1686072771.042100,0.371578097,,652.000000000
1686072771.444596,0.384081393,0.125145137,652.000000000
1686072771.826748,0.406487912,0.125114411,652.000000000
1686072772.239089,0.284661114,0.125058085,714.000000000
1686072772.601116,0.287056744,0.125049904,396.000000000
1686072773.013409,0.277035832,0.125050560,396.000000000
1686072773.455936,,0.125058666,
1686072773.465998,0.286876887,,462.000000000
1686072773.848176,0.300031543,0.125074401,462.000000000
1686072774.220324,0.348502845,0.125110090,462.000000000
1686072774.662911,0.366057098,0.125161186,328.000000000
1686072775.045116,0.329031616,0.125241965,590.000000000
1686072775.457508,0.330755085,0.125323266,714.000000000
1686072775.859824,0.350472957,0.125383660,714.000000000
1686072776.232019,0.384557307,0.125441045,836.000000000
1686072776.654530,0.410146207,0.125485346,896.000000000
1686072777.066914,0.437449336,0.125516787,1015.000000000
1686072777.469250,0.514733136,0.125566408,1015.000000000
1686072777.841418,0.334261596,0.125617728,714.000000000
1686072778.283964,0.368905693,0.125659332,836.000000000
1686072778.656158,0.370078295,0.125695705,714.000000000
1686072779.068521,0.392872751,0.125721991,590.000000000
1686072779.470860,0.413209856,0.125737354,462.000000000
1686072779.863081,,0.125759989,
1686072779.873143,0.316679031,,590.000000000
1686072780.245291,0.314705700,0.125749424,714.000000000
1686072780.647653,,0.125736579,
1686072780.657713,0.324561477,,775.000000000
1686072781.070043,0.320863008,0.125720471,836.000000000
1686072781.442088,0.318626344,0.125720069,836.000000000
1686072781.864469,0.326211095,0.125756562,775.000000000
1686072782.266775,0.268964171,0.125764653,396.000000000
1686072782.689161,0.312223852,0.125764161,590.000000000
1686072783.061171,0.318334013,0.125779167,590.000000000
1686072783.443356,,0.125806764,
1686072783.453413,0.283996999,,836.000000000
1686072783.895894,0.275862396,0.125836685,896.000000000
1686072784.278094,0.335127771,0.125884652,836.000000000
1686072784.680408,,0.125932410,
1686072784.690468,0.351887375,,956.000000000
1686072785.052567,,0.125963569,
1686072785.062630,0.279102832,,714.000000000
1686072785.475000,,0.125998273,
1686072785.485063,0.299901903,,328.000000000
1686072785.877335,0.279078543,0.126029208,183.000000000
1686072786.269644,0.198658660,0.126069933,183.000000000
1686072786.671952,0.254839212,0.126081243,258.000000000
1686072787.074306,0.252593279,0.126085714,526.000000000
1686072787.506771,0.292216569,0.126078248,714.000000000
1686072787.858771,0.261198610,0.126080692,775.000000000
1686072788.250994,,0.126064077,
1686072788.261055,0.280541182,,714.000000000
1686072788.693482,0.247839496,0.126029566,775.000000000
1686072789.095832,0.227673665,0.125979170,462.000000000
1686072789.457920,0.283069849,0.125924915,258.000000000
1686072790.131877,0.241064355,0.125880301,258.000000000
1686072790.514105,0.224610463,0.125842243,462.000000000
1686072790.876149,0.277943939,0.125803128,590.000000000
1686072791.288573,0.278978497,0.125766665,714.000000000
1686072791.700933,0.299466819,0.125719652,714.000000000
1686072792.133361,,0.125655904,
1686072792.143421,0.345861435,,775.000000000
1686072792.505514,0.235745072,0.125587463,396.000000000
1686072792.917872,0.241690069,0.125503048,396.000000000
1686072793.269937,,0.125418440,
1686072793.279993,0.293651223,,462.000000000
1686072793.752677,0.289031982,0.125315055,590.000000000
1686072794.144993,0.257139713,0.125207007,652.000000000
1686072794.487000,0.295255184,0.125100404,590.000000000
1686072794.949744,0.286635190,0.124990128,526.000000000
1686072795.311748,,0.124863356,
1686072795.321806,0.301299453,,526.000000000
1686072795.704033,0.228225395,0.124737501,183.000000000
1686072796.136505,0.280061692,0.124616750,258.000000000
1686072796.538769,,0.124495827,
1686072796.548831,0.294397205,,328.000000000
1686072796.951182,0.261469752,0.124373503,462.000000000
1686072797.333363,0.306923777,0.124238797,462.000000000
1686072797.685389,0.268767625,0.124088012,462.000000000
1686072798.087694,0.282914877,0.123929538,396.000000000
1686072798.500096,,0.123769976,
1686072798.510183,0.246288016,,396.000000000
1686072798.922550,0.245228469,0.123610698,462.000000000
1686072799.314783,0.279983670,0.123455517,462.000000000
1686072799.697008,0.293539435,0.123302147,590.000000000
1686072800.109335,0.306972504,0.123140261,526.000000000
1686072800.743095,0.264207393,0.122994214,462.000000000
1686072801.115268,0.309650719,0.122868754,462.000000000
1686072801.748929,0.330836415,0.122744553,396.000000000
