__time,/amcl_pose/header/seq,/amcl_pose/header/stamp,/amcl_pose/pose/covariance[0],/amcl_pose/pose/covariance[10],/amcl_pose/pose/covariance[11],/amcl_pose/pose/covariance[12],/amcl_pose/pose/covariance[13],/amcl_pose/pose/covariance[14],/amcl_pose/pose/covariance[15],/amcl_pose/pose/covariance[16],/amcl_pose/pose/covariance[17],/amcl_pose/pose/covariance[18],/amcl_pose/pose/covariance[19],/amcl_pose/pose/covariance[1],/amcl_pose/pose/covariance[20],/amcl_pose/pose/covariance[21],/amcl_pose/pose/covariance[22],/amcl_pose/pose/covariance[23],/amcl_pose/pose/covariance[24],/amcl_pose/pose/covariance[25],/amcl_pose/pose/covariance[26],/amcl_pose/pose/covariance[27],/amcl_pose/pose/covariance[28],/amcl_pose/pose/covariance[29],/amcl_pose/pose/covariance[2],/amcl_pose/pose/covariance[30],/amcl_pose/pose/covariance[31],/amcl_pose/pose/covariance[32],/amcl_pose/pose/covariance[33],/amcl_pose/pose/covariance[34],/amcl_pose/pose/covariance[35],/amcl_pose/pose/covariance[3],/amcl_pose/pose/covariance[4],/amcl_pose/pose/covariance[5],/amcl_pose/pose/covariance[6],/amcl_pose/pose/covariance[7],/amcl_pose/pose/covariance[8],/amcl_pose/pose/covariance[9],/amcl_pose/pose/pose/orientation/w,/amcl_pose/pose/pose/orientation/x,/amcl_pose/pose/pose/orientation/y,/amcl_pose/pose/pose/orientation/z,/amcl_pose/pose/pose/position/x,/amcl_pose/pose/pose/position/y,/amcl_pose/pose/pose/position/z,Lower Bound X,Lower Bound Y,Upper Bound X,Upper Bound Y
1539699444.814680,23.000000000,1539699444.776015043,0.039864747,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.013207667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.105413397,0.000000000,0.000000000,0.000000000,-0.013207667,0.027054434,0.000000000,0.000000000,0.969306331,0.000000000,0.000000000,-0.245856129,-0.562602463,-0.330216694,0.000000000,-0.961925626,-0.659181334,-0.163279299,-0.001252054
1539699445.625820,24.000000000,1539699445.578504562,0.043561237,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.009906043,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.082060156,0.000000000,0.000000000,0.000000000,-0.009906043,0.017309913,0.000000000,0.000000000,0.999798866,0.000000000,0.000000000,-0.020055591,-0.462170248,-0.366746093,0.000000000,-0.879596826,-0.629880380,-0.044743671,-0.103611807
1539699446.393909,25.000000000,1539699446.381013632,0.044953802,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.005978167,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.067942103,0.000000000,0.000000000,0.000000000,-0.005978167,0.012966080,0.000000000,0.000000000,0.977855838,0.000000000,0.000000000,0.209279621,-0.354328507,-0.358917024,0.000000000,-0.778374742,-0.586654420,0.069717729,-0.131179628
1539699447.424957,26.000000000,1539699447.384739161,0.039038338,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000027089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.064212403,0.000000000,0.000000000,0.000000000,0.000027089,0.013845960,0.000000000,0.000000000,0.898859795,0.000000000,0.000000000,0.438236316,-0.222060660,-0.272419614,0.000000000,-0.617223099,-0.507757327,0.173101778,-0.037081902
1539699450.632412,27.000000000,1539699450.594900370,0.046388282,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004109802,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.099839159,0.000000000,0.000000000,0.000000000,0.004109802,0.032801431,0.000000000,0.000000000,0.969179624,0.000000000,0.000000000,0.246355144,0.177329417,0.036019106,0.000000000,-0.253429364,-0.326204200,0.608088198,0.398242412
1539699453.244008,28.000000000,1539699453.203769207,0.050198499,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002220240,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.111659035,0.000000000,0.000000000,0.000000000,-0.002220240,0.053018335,0.000000000,0.000000000,0.933474104,0.000000000,0.000000000,0.358644807,0.537447251,0.228706864,0.000000000,0.089346822,-0.231807349,0.985547680,0.689221076
1539699454.044172,29.000000000,1539699454.006272316,0.035622567,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.003701328,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.082614439,0.000000000,0.000000000,0.000000000,-0.003701328,0.040423533,0.000000000,0.000000000,0.845204551,0.000000000,0.000000000,0.534442950,0.608599955,0.311786889,0.000000000,0.231121125,-0.090325202,0.986078785,0.713898980
1539699455.267376,30.000000000,1539699455.210025311,0.029602396,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002682798,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.074921138,0.000000000,0.000000000,0.000000000,-0.002682798,0.039283182,0.000000000,0.000000000,0.658378144,0.000000000,0.000000000,0.752687332,0.644910874,0.480467044,0.000000000,0.300803935,0.084067335,0.989017813,0.876866752
1539699456.247478,31.000000000,1539699456.212756157,0.026215345,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.005266666,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.056203670,0.000000000,0.000000000,0.000000000,-0.005266666,0.023569627,0.000000000,0.000000000,0.471404294,0.000000000,0.000000000,0.881917225,0.594279667,0.613455321,0.000000000,0.270456597,0.306407266,0.918102738,0.920503376
1539699459.444971,32.000000000,1539699459.424011707,0.051983638,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.005135877,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.092336308,0.000000000,0.000000000,0.000000000,-0.005135877,0.027279500,0.000000000,0.000000000,0.283102837,0.000000000,0.000000000,0.959089560,0.247014916,1.002941705,0.000000000,-0.208983496,0.672611566,0.703013328,1.333271844
